Name,Organisation,Branch,Country,Building,Address,Postcode,L1,L2,L3,L4,Lat,Lon,Phone1,Phone2,Email,Fax,Comments
ARMM WAREHOUSE,Department of Social Welfare and Development,ARMM,Philippines,,,,Region XII,Maguindanao,Cotabato City,,,,,,,,
CAR WAREHOUSE,Department of Social Welfare and Development,CAR,Philippines,,,,Cordillera Administrative Region,Benguet,Baguio City,,,,,,,,
CARAGA WAREHOUSE,Department of Social Welfare and Development,CARAGA,Philippines,,,,Region XIII,Agusan Del Norte,Butuan City,,,,,,,,
FO1 WAREHOUSE,Department of Social Welfare and Development,Field Office 1,Philippines,,,,Region I,La Union,San Fernando City,,,,,,,,
FO10 WAREHOUSE,Department of Social Welfare and Development,Field Office 10,Philippines,,,,Region X,Misamis Oriental,Cagayan De Oro,,,,,,,,
FO11 WAREHOUSE,Department of Social Welfare and Development,Field Office 11,Philippines,,,,Region XI,Davao,Davao City,,,,,,,,
FO12 WAREHOUSE,Department of Social Welfare and Development,Field Office 12,Philippines,,,,Region XII,Maguindanao,Cotabato City,,,,,,,,
FO2 WAREHOUSE,Department of Social Welfare and Development,Field Office 2,Philippines,,,,Region II,Cagayan Valley,Tuguegarao City,,,,,,,,
FO3 WAREHOUSE,Department of Social Welfare and Development,Field Office 3,Philippines,,,,REGION III [Central Luzon],Pampanga,Angeles City,,,,,,,,
FO4A WAREHOUSE,Department of Social Welfare and Development,Field Office 4A,Philippines,,,,National Capital Region,Metro Manila,Muntinlupa City,,,,,,,,
FO4B WAREHOUSE,Department of Social Welfare and Development,Field Office 4B,Philippines,,,,National Capital Region,Metro Manila,Alabang,,,,,,,,
FO5 WAREHOUSE,Department of Social Welfare and Development,Field Office 5,Philippines,,,,Region V,Albay,Legazpi City,,,,,,,,
FO6 WAREHOUSE,Department of Social Welfare and Development,Field Office 6,Philippines,,,,Region VI,Iloilo,Iloilo City,,,,,,,,
FO7 WAREHOUSE,Department of Social Welfare and Development,Field Office 7,Philippines,,,,Region VII,Cebu,Cebu City,,,,,,,,
FO8 WAREHOUSE,Department of Social Welfare and Development,Field Office 8,Philippines,,,,Region VIII,Tacloban,Tacloban City,,,,,,,,
FO9 WAREHOUSE,Department of Social Welfare and Development,Field Office 9,Philippines,,,,Region IX,Zamboanga,Zamboanga City,,,,,,,,
NCR WAREHOUSE,Department of Social Welfare and Development,NCR,Philippines,,,,National Capital Region,Metro Manila,Pasay City,,,,,,,,
NROC A WAREHOUSE,Department of Social Welfare and Development,National Resource Operation Center,Philippines,,,,National Capital Region,Metro Manila,Pasay City,,,,,,,,
NROC B WAREHOUSE,Department of Social Welfare and Development,National Resource Operation Center,Philippines,,,,National Capital Region,Metro Manila,Pasay City,,,,,,,,
NROC C WAREHOUSE,Department of Social Welfare and Development,National Resource Operation Center,Philippines,,,,National Capital Region,Metro Manila,Pasay City,,,,,,,,
NROC D WAREHOUSE,Department of Social Welfare and Development,National Resource Operation Center,Philippines,,,,National Capital Region,Metro Manila,Pasay City,,,,,,,,
NROC E WAREHOUSE,Department of Social Welfare and Development,National Resource Operation Center,Philippines,,,,National Capital Region,Metro Manila,Pasay City,,,,,,,,
NROC F WAREHOUSE,Department of Social Welfare and Development,National Resource Operation Center,Philippines,,,,National Capital Region,Metro Manila,Pasay City,,,,,,,,
NROC G WAREHOUSE,Department of Social Welfare and Development,National Resource Operation Center,Philippines,,,,National Capital Region,Metro Manila,Pasay City,,,,,,,,
